midge-ID  ; genome copies per individuum 
1-BTV8 6dpi 320;4.15E+01
1-BTV8 6dpi 321;0
1-BTV8 6dpi 322;0
1-BTV8 6dpi 323;0
1-BTV8 6dpi 324;7.09E+07
1-BTV8 6dpi 325;3.15E+02
1-BTV8 6dpi 326;3.70E+02
1-BTV8 6dpi 327;2.01E+02
1-BTV8 6dpi 328;4.10E+02
1-BTV8 6dpi 329;2.24E+02
1-BTV8 6dpi 330;1.29E+02
2-NC 0dpi 1;0
2-NC 0dpi 2;0
2-NC 0dpi 3;0
2-NC 0dpi 4;0
2-NC 0dpi 5;0
2-NC 0dpi 6;0
2-NC 0dpi 7;0
2-NC 0dpi 8;0
2-NC 0dpi 9;0
2-NC 0dpi 10;0
2-NC 0dpi 11;0
2-NC 0dpi 12;0
2-NC 0dpi 13;0
2-NC 0dpi 14;0
2-NC 0dpi 15;0
2-NC 0dpi 16;0
2-BTV3 0dpi 1;4.60E+04
2-BTV3 0dpi 2;5.34E+04
2-BTV3 0dpi 3;3.89E+04
2-BTV3 0dpi 4;8.58E+04
2-BTV3 0dpi 5;7.29E+04
2-BTV3 0dpi 6;1.27E+05
2-BTV3 0dpi 7;7.86E+04
2-BTV3 0dpi 8;5.00E+04
2-BTV3 0dpi 9;1.14E+05
2-BTV3 0dpi 10;7.09E+04
2-BTV3 0dpi 11;1.59E+05
2-BTV3 0dpi 12;7.18E+04
2-BTV3 0dpi 13;7.01E+04
2-BTV3 0dpi 14;6.80E+04
2-BTV3 0dpi 15;3.80E+04
2-BTV3 0dpi 16;6.40E+04
2-BTV8 0dpi 1;9.82E+04
2-BTV8 0dpi 2;1.49E+05
2-BTV8 0dpi 3;2.61E+05
2-BTV8 0dpi 4;1.83E+05
2-BTV8 0dpi 5;1.33E+05
2-BTV8 0dpi 6;1.60E+05
2-BTV8 0dpi 7;1.40E+05
2-BTV8 0dpi 8;1.12E+05
2-BTV8 0dpi 9;3.67E+05
2-BTV8 0dpi 10;1.73E+05
2-BTV8 0dpi 11;6.47E+04
2-BTV8 0dpi 12;1.07E+05
2-BTV8 0dpi 13;7.82E+04
2-BTV8 0dpi 14;1.41E+05
2-BTV8 0dpi 15;1.70E+05
2-BTV8 0dpi 16;3.41E+05
2-NC 6dpi 1 ;0
2-NC 6dpi 2;0
2-NC 6dpi 3;0
2-NC 6dpi 4;0
2-NC 6dpi 5;0
2-NC 6dpi 6;0
2-NC 6dpi 7;0
